Zone,Asc
ZONE 10,DEGGO SACRE COEUR
ZONE 10,DIAMBAR
ZONE 10,DEGGO OUAKAM
ZONE 10,SUD FOIRE
ZONE 10,NORD FOIRE
ZONE 10,OUEST FOIRE
ZONE 10,KAWSARA
ZONE 10,MERMOZ
ZONE 10,CITE AVIONS
ZONE 10,JIKKO
ZONE 10,JANTE BI
